tweet_id,user_id,createdate,tweet,scrapping_id,scrappingid,user_id,createdate
1330893232926912513,76860668,2020-11-23 15:17:28,Prudential?Iya ,2,3,76860668,2020-11-23 15:17:28
1330911488920391680,1163376922950348800,2020-11-23 16:30:00," _Josh257 Nga wano we yafuna deal ya prudential twagimanyirawo, Kati olwo his life?",2,3,1163376922950348800,2020-11-23 16:30:00
1330915348770504722,1209654700259213312,2020-11-23 16:45:21, mina unnie caring banget kaya prudential,2,3,1209654700259213312,2020-11-23 16:45:21
1330920553847328770,467022501,2020-11-23 17:06:02,Lepak dgn abang hensem yg awesome.Tq aslam lepak dgn saya td. agentemanprudentialknigthrosesKR… ,2,3,467022501,2020-11-23 17:06:02
1330927955116101633,1327194030149570566,2020-11-23 17:35:26, 'I'm lovin it' yg diinget cuma prudential akumah :),2,3,1327194030149570566,2020-11-23 17:35:26
1330956164096348161,1092387750639108096,2020-11-23 19:27:32,Senangnya hatiku punya temen virtual yang prudential alias always listening always understanding!!,2,3,1092387750639108096,2020-11-23 19:27:32
1331008954177003520,1186331030556307456,2020-11-23 22:57:18, Goyang? Digoyang mas... Semongko! 😁Kasih inisial dong... aku ada 2 asuransi axa dan prudential. Bkn itu kan?,2,3,1186331030556307456,2020-11-23 22:57:18
1331018543203115008,1226038257881731072,2020-11-23 23:35:24,   Masaka saudara  tidak tahu kalau AXA Mandiri dan Prudential juga viral banyak nasabah jadi korban.,2,3,1226038257881731072,2020-11-23 23:35:24
1331024516777009152,161999838,2020-11-23 23:59:08, Prudential ya bang :D,2,3,161999838,2020-11-23 23:59:08
1331026123577180160,1112952738176876549,2020-11-24 00:05:31, Asuransi apa bang..soalnya saya ada asurasi prudential ?,2,3,1112952738176876549,2020-11-24 00:05:31
1331033784473460736,393954498,2020-11-24 00:35:58,Perjalanan Hidup Sehat Semakin Mudah dengan Pulse By Prudential  ,2,3,393954498,2020-11-24 00:35:58
1331042861916114945,15074781,2020-11-24 01:12:02,blogupdate untuk mendukung gaya hiduo sehatmu ,2,3,15074781,2020-11-24 01:12:02
1331045451500560385,1053953342,2020-11-24 01:22:19,"I'm at Prudential  Jaya 33 in Petaling Jaya, Selangor, Selangor ",2,3,1053953342,2020-11-24 01:22:19
1331046898048745472,94938454,2020-11-24 01:28:04," Prudential nya KK , biar Cantiknya tetap terproteksi .. 👍",2,3,94938454,2020-11-24 01:28:04
1331047855583215617,798663865344983040,2020-11-24 01:31:53, Hi kakk. If nak tahu plan takaful under prudential boleh dm saya 🥰,2,3,798663865344983040,2020-11-24 01:31:53
1331079171909435392,345363174,2020-11-24 03:36:19,Assalamualaikum dan selamat pagi 😇Pagi ni belajar Magic Bill/Bil Ajaib Presentation dgn wakil company Prudential… ,2,3,345363174,2020-11-24 03:36:19
1331081903445721088,447060718,2020-11-24 03:47:10,"yeee gimana price yoganya 21 jeti pertahun mending gue buka polis asuransi di prudential, aman, sejahtera.",2,3,447060718,2020-11-24 03:47:10
1331082340819378176,151417192,2020-11-24 03:48:55," Kalau dari awal sudah fokusnya proteksi, tidak apa apa kak, dilanjutkan saja.. selama sesuai ketentuan p… ",2,3,151417192,2020-11-24 03:48:55
1331089591852429312,720555624,2020-11-24 04:17:43, Share covid ngn aku... Aku dah ade prudential duduk bawah awie,2,3,720555624,2020-11-24 04:17:43
1331090394461872128,1968489194,2020-11-24 04:20:55,"   Beneran PRUDENTIAL ya, sy tny ke orangnya agennya langsung knp malah bilang lg me… ",2,3,1968489194,2020-11-24 04:20:55
1331093227269619714,703793947965980672,2020-11-24 04:32:10,"YEAR END SALE (YES)Semua nak berebut nak buat sale, Prudential Juga tidak terlepasKalau dulu, terlepas untuk mi… ",2,3,703793947965980672,2020-11-24 04:32:10
1331094788393734145,785872243872063488,2020-11-24 04:38:22,"    Ini unit link, tergantung saham. Prudential kan asliny jualan perlindu… ",2,3,785872243872063488,2020-11-24 04:38:22
1331096263450791939,1204181421289426944,2020-11-24 04:44:14,  Nanti gw mau ngebase pake tagline nya prudential ahh wkwk,2,3,1204181421289426944,2020-11-24 04:44:14
1331120952667738118,1104654064590061569,2020-11-24 06:22:20,[Admin] 8 Rabiul Akhir 1442H / 24 November 2020 : Menerima kunjungan hormat daripada Takaful Prudential. ,2,3,1104654064590061569,2020-11-24 06:22:20
1331126867164729350,2958157020,2020-11-24 06:45:50,Lepasni prudential pls buat contest voucher foot locker pulak pls,2,3,2958157020,2020-11-24 06:45:50
1331131670406131718,3253475570,2020-11-24 07:04:56," Assalamualaikum, maaf menyelit🙏🏻 Saya amira dari prudential takaful bsn, kami sedang membuat recruitm… ",2,3,3253475570,2020-11-24 07:04:56
1331135749379428353,66495841,2020-11-24 07:21:08,Perjalanan Hidup Sehat Semakin Mudah dengan Pulse By Prudential  via   BloggerFLP,2,3,66495841,2020-11-24 07:21:08
1331155968873230337,840169035983601664,2020-11-24 08:41:29,"untuk Jasper Morton sendiri memang orangnya mandiri, tegas dan prudential banget. Bisa menjadi sosok pacar, sahabat… ",2,3,840169035983601664,2020-11-24 08:41:29
1331156058262257664,770131506182356992,2020-11-24 08:41:50,Pentingnya insurans untuk bantu pada masa akan datang &amp; dalam masa yg sama juga kita menyimpan. Semoga bermanfaat… ,2,3,770131506182356992,2020-11-24 08:41:50
1331164110323556352,598243189,2020-11-24 09:13:50,Kenapa lah I tak full time dengan prudential dari awal,2,3,598243189,2020-11-24 09:13:50
1331167308597714944,118646322,2020-11-24 09:26:32,Aplikasi Pulse dari Prudential Hadirkan Tiga Fitur Baru ,2,3,118646322,2020-11-24 09:26:32
1331173002549944321,1055781128,2020-11-24 09:49:10,Dapat lebihan duit dari Tabarru'. makin bertambah saving akaun prudential aku hehe . sapa kata amik insurans tu rug… ,2,3,1055781128,2020-11-24 09:49:10
1331175091015610368,293840520,2020-11-24 09:57:28," Luas banget tuh yg kya gmn ary..... seluas cinta aku ke cowok2 kipop aku atau gmn,,, EHEHE.. fufufuf… ",2,3,293840520,2020-11-24 09:57:28
1331183278104010752,1867163000,2020-11-24 10:30:00,"teknologi apasi guys yg kl kita nyari2 sesuatu di google nanti jd muncul terus iklannya di ig, youtube? sampe detik… ",2,3,1867163000,2020-11-24 10:30:00
1331185695012970497,351190206,2020-11-24 10:39:36,  Da lama da under prudential. Sejak awal keje. Dlu bawah ejen lain.,2,3,351190206,2020-11-24 10:39:36
1331193457411457024,1216911260475768832,2020-11-24 11:10:27," Iya juga anjir ntar di akhir tinggal dikasi tulisan ""prudential""",2,3,1216911260475768832,2020-11-24 11:10:27
1331202245497475073,1125180381131501568,2020-11-24 11:45:22, aw km seperti prudential,2,3,1125180381131501568,2020-11-24 11:45:22
1331209147614806017,1099554702981648384,2020-11-24 12:12:48, Tolong dong kasih tau asuransi apa ? Prudential bukan ? Biar cepet dicabut kalo emang iya dan bisa 🙏,2,3,1099554702981648384,2020-11-24 12:12:48
1331226179517333505,1072306761799847937,2020-11-24 13:20:28, ️️️️ ️️️️️️ ️️️️️️ ️️️️️️ ️️️️️️ ️️️️️️ ️️️️️️ ️️️️️️ ️️Iya asuransi tapi aku bukan Prudential!️️️️… ,2,3,1072306761799847937,2020-11-24 13:20:28
1331227646630346754,1518767318,2020-11-24 13:26:18,  Prudential baru bayar 30M agustus kmren.,2,3,1518767318,2020-11-24 13:26:18
1331238726618415104,778448393706188801,2020-11-24 14:10:20," Hi kak, aku adalah agent asuransi Prudential. Apakah mama kakak sudah berusia 65 tahun? Kalau belum masi… ",2,3,778448393706188801,2020-11-24 14:10:20
1331260196140662785,1304972257706405895,2020-11-24 15:35:39," Kakak adalah tipe pacar yang seperti Prudential. Always listening, always understanding. Kakak juga buc… ",2,3,1304972257706405895,2020-11-24 15:35:39
1331266805369696266,1335512298,2020-11-24 16:01:54,"acara workshop  bareng pecinta kopi dan kretek,29-06-2013,cangkir cofee prudential tower kav 79  temansehati",2,3,1335512298,2020-11-24 16:01:54
1331279910007017474,1097807514454749184,2020-11-24 16:53:59,  _nrzln Salam semua. Saya Hatim dari Prudential BSN Takaful 😊Kalau sedang mencari plan pe… ,2,3,1097807514454749184,2020-11-24 16:53:59
1331285711278862336,889324106830667776,2020-11-24 17:17:02,Ya allah prudential itu 1848 :(,2,3,889324106830667776,2020-11-24 17:17:02
